Clare,1500,2,3000
Crawford,2000,3,6000
Danial,1750,1,1750
Dayton,1800,2,3600
Dolphus,1850,3,5550
Elder,1900,1,1900
Ephriam,1950,2,3900
Fayette,2000,3,6000
Felipe,1000,1,1000
Fernando,1500,2,3000
Flem,2000,3,6000
Florence,1750,1,1750
Ford,1800,2,3600
Harlan,1850,3,5550
Hayes,1900,1,1900
Henery,1950,2,3900
Hoy,2000,3,6000
Huston,1000,1,1000
Ida,1500,2,3000
Ivory,2000,3,6000
Jonah,1750,1,1750
Justin,1800,2,3600
Lenard,1850,3,5550
Leopold,1900,1,1900
Lionel,1950,2,3900
Manley,2000,3,6000
Marquis,1000,1,1000
Marshal,1500,2,3000
Mart,2000,3,6000
Odie,1750,1,1750
Olen,1800,2,3600
Oral,1850,3,5550
Orley,1900,1,1900
Otha,1950,2,3900
Press,2000,3,6000
Price,1000,1,1000
Quincy,1500,2,3000
Randall,2000,3,6000
Rich,1000,1,1000
Richmond,1500,2,3000
Romeo,2000,3,6000
Russel,1750,1,1750
Rutherford,1800,2,3600
Shade,1850,3,5550
Shelby,1900,1,1900
Solon,1950,2,3900
Thurman,2000,3,6000
Tilden,1000,1,1000
Troy,1500,2,3000
Woodson,2000,3,6000
Worth,1750,1,1750
Aden,1800,2,3600
Alcide,1850,3,5550
Alf,1900,1,1900
Algie,1950,2,3900
Arlie,2000,3,6000
Bart,1000,1,1000
Bedford,1500,2,3000
Benito,2000,3,6000
Billy,1750,1,1750
Bird,1800,2,3600
Birt,1850,3,5550
Bruno,1900,1,1900
Burley,1950,2,3900
Chancy,2000,3,6000
Claus,1000,1,1000
Cliff,1500,2,3000
Clovis,2000,3,6000
Connie,1750,1,1750
Creed,1800,2,3600
Delos,1850,3,5550
Duke,1900,1,1900
Eber,1950,2,3900
Eligah,2000,3,6000
Elliot,1000,1,1000
Elton,1500,2,3000
Emmitt,2000,3,6000
Gene,1750,1,1750
Golden,1800,2,3600
Hal,1850,3,5550
Hardin,1900,1,1900
Harman,1950,2,3900
Hervey,2000,3,6000
Hollis,1000,1,1000
Ivey,1500,2,3000
Jennie,2000,3,6000
Len,1750,1,1750
Lindsay,1800,2,3600
Lonie,1850,3,5550
Lyle,1900,1,1900
Mac,1950,2,3900
Mal,2000,3,6000
Math,1000,1,1000
Miller,1500,2,3000
Orson,2000,3,6000
Osborne,1000,1,1000
Percival,1500,2,3000
Pleas,2000,3,6000
Ples,1750,1,1750
Rafael,1800,2,3600
Raoul,1850,3,5550
Roderick,1900,1,1900
Rose,1950,2,3900
Shelton,2000,3,6000
Sid,1000,1,1000
Theron,1500,2,3000
Tobias,2000,3,6000
Toney,1750,1,1750
Tyler,1800,2,3600
Vance,1850,3,5550
Vivian,1900,1,1900
Walton,1950,2,3900
Watt,2000,3,6000
Weaver,1000,1,1000
Wilton,1500,2,3000
Adolf,2000,3,6000
Albin,1750,1,1750
Albion,1800,2,3600
Allison,1850,3,5550
Alpha,1900,1,1900
Alpheus,1950,2,3900
Anastacio,2000,3,6000
Andre,1000,1,1000
Annie,1500,2,3000
Arlington,2000,3,6000
Armand,1750,1,1750
Asberry,1800,2,3600
Asbury,1850,3,5550
Asher,1900,1,1900
Augustin,1950,2,3900
Auther,2000,3,6000
Author,1000,1,1000
Ballard,1500,2,3000
Blas,2000,3,6000
Caesar,1750,1,1750
Candido,1800,2,3600
Cato,1850,3,5550
Clarke,1900,1,1900
Clemente,1950,2,3900
Colin,2000,3,6000
Commodore,1000,1,1000
Cora,1500,2,3000
Coy,2000,3,6000
Cruz,1750,1,1750
Curt,1800,2,3600
Damon,1850,3,5550
Davie,1900,1,1900
Delmar,1950,2,3900
Dexter,2000,3,6000
Dora,1000,1,1000
Doss,1500,2,3000
Drew,2000,3,6000
Edson,1000,1,1000
Elam,1500,2,3000
Elihu,2000,3,6000
Eliza,1750,1,1750
Elsie,1800,2,3600
Erie,1850,3,5550
Ernie,1900,1,1900
Ethel,1950,2,3900
Ferd,2000,3,6000
Friend,1000,1,1000
Garry,1500,2,3000
Gary,2000,3,6000
Grace,1750,1,1750
Gustaf,1800,2,3600
Hallie,1850,3,5550
Hampton,1900,1,1900
Harrie,1950,2,3900
Hattie,2000,3,6000
Hence,1000,1,1000
Hillard,1500,2,3000
Hollie,2000,3,6000
Holmes,1750,1,1750
Hope,1800,2,3600
Hyman,1850,3,5550
Ishmael,1900,1,1900
Jarrett,1950,2,3900
Jessee,2000,3,6000
Joeseph,1000,1,1000
Junious,1500,2,3000
Kirk,2000,3,6000
Levy,1750,1,1750
Mervin,1800,2,3600
Michel,1850,3,5550
Milford,1900,1,1900
Mitchel,1950,2,3900
Nellie,2000,3,6000
Noble,1000,1,1000
Obed,1500,2,3000
Oda,2000,3,6000
Orren,1750,1,1750
Ottis,1800,2,3600
Rafe,1850,3,5550
Redden,1900,1,1900
Reese,1950,2,3900
Rube,2000,3,6000
Ruby,1000,1,1000
Rupert,1500,2,3000
Salomon,2000,3,6000
Sammie,1750,1,1750
Sanders,1800,2,3600
Soloman,1850,3,5550
Stacy,1900,1,1900
Stanford,1950,2,3900
Stanton,1000,3,3000
Thad,1500,1,1500
Titus,2000,2,4000
Tracy,1000,3,3000
Vernie,1500,1,1500
Wendell,2000,2,4000
Wilhelm,1750,3,5250
Willian,1800,1,1800
Yee,1850,2,3700
Zeke,1900,3,5700
Ab,1950,1,1950
Abbott,2000,2,4000
Agustus,1000,3,3000
Albertus,1500,1,1500
Almer,2000,2,4000
Alphonso,1750,3,5250
Alvia,1800,1,1800
Artie,1850,2,3700
Arvid,1900,3,5700
Ashby,1950,1,1950
Augusta,2000,2,4000
Aurthur,1000,3,3000
Babe,1500,1,1500
Baldwin,2000,2,4000
Barnett,1750,3,5250
Bartholomew,1800,1,1800
Barton,1850,2,3700
Bernie,1900,3,5700
Blaine,1950,1,1950
Boston,2000,2,4000
Brad,1000,3,3000
Bradford,1500,1,1500
Bradley,2000,2,4000
Brooks,1750,3,5250
Buck,1800,1,1800
Budd,1850,2,3700
Ceylon,1900,3,5700
Chalmers,1950,1,1950
Chesley,2000,2,4000
Chin,1000,3,3000
Cleo,1500,1,1500
Crockett,2000,2,4000
Cyril,1750,3,5250
Daisy,1800,1,1800
Denver,1850,2,3700
Dow,1900,3,5700
Duff,1950,1,1950
Edie,2000,2,4000
Edith,1000,3,3000
Elick,1500,1,1500
Elie,2000,2,4000
Eliga,1750,3,5250
Eliseo,1800,1,1800
Elroy,1850,2,3700
Ely,1900,3,5700
Ennis,1950,1,1950
Enrique,1000,2,2000
Erasmus,1500,3,4500
Esau,2000,1,2000
Everette,1000,2,2000
Firman,1500,3,4500
Fleming,2000,1,2000
Flora,1750,2,3500
Gardner,1800,3,5400
Gee,1850,1,1850
Gorge,1900,2,3800
Gottlieb,1950,3,5850
Gregorio,2000,1,2000
Gregory,1000,2,2000
Gustavus,1500,3,4500
Halsey,2000,1,2000
Handy,1750,2,3500
Hardie,1800,3,5400
Harl,1850,1,1850
Hayden,1900,2,3800
Hays,1950,3,5850
Hermon,2000,1,2000
Hershel,1000,2,2000
Holly,1500,3,4500
Hosteen,2000,1,2000
Hoyt,1750,2,3500
Hudson,1800,3,5400
Huey,1850,1,1850
Humphrey,1900,2,3800
Hunt,1950,3,5850
Hyrum,2000,1,2000
Irven,1000,2,2000
Isam,1500,3,4500
Ivy,2000,1,2000
Jabez,1750,2,3500
Jewel,1800,3,5400
Jodie,1850,1,1850
Judd,1900,2,3800
Julious,1950,3,5850
Justice,2000,1,2000
Katherine,1000,2,2000
Kelly,1500,3,4500
Kit,2000,1,2000
Knute,1750,2,3500
Lavern,1800,3,5400
Lawyer,1850,1,1850
Layton,1900,2,3800
